lp_f
----------------
line no, output 1
1267, -0.192005
1268, -0.204005
1269, -0.216004
1270, -0.228004
1271, -0.239975
1272, -0.252004
1273, -0.264004
1274, -0.276004
1275, -0.288004
1276, -0.300005
1277, -0.312005
1278, -0.323976
1279, -0.336004
1280, -0.348004
1281, -0.360004
1282, -0.372004
1283, -0.384004
1284, -0.396004
1285, -0.407977
1286, -0.420004
1287, -0.432004
1288, -0.444004
1289, -0.456004
1290, -0.468004
1291, -0.480003
1292, -0.491977
1293, -0.504004
1294, -0.516004
1295, -0.528004
1296, -0.540003
1297, -0.552004
1298, -0.564004
1299, -0.575978
1300, -0.588003
1301, -0.600003
1302, -0.612004
1303, -0.624004
1304, -0.636004
1305, -0.648003
1306, -0.659978
1307, -0.672004
1308, -0.684003
1309, -0.696003
1310, -0.708003
1311, -0.720004
1312, -0.732004
1313, -0.74398
1314, -0.756004
1315, -0.768003
1316, -0.780003
1317, -0.792004
1318, -0.804003
1319, -0.816003
1320, -0.82798
1321, -0.840003
1322, -0.852003
1323, -0.864004
1324, -0.876003
1325, -0.888003
1326, -0.900003
1327, -0.911981
1328, -0.924003
1329, -0.936003
1330, -0.948003
1331, -0.960003
1332, -0.972004
1333, -0.984004
1334, -0.995981
1335, -1.008
1336, -1.02
1337, -1.032
1338, -1.044
1339, -1.056
1340, -1.068
1341, -1.07998
1342, -1.092
1343, -1.104
1344, -1.116
1345, -1.128
1346, -1.14
1347, -1.152
1348, -1.16398
1349, -1.176
1350, -1.188
1351, -1.2
1352, -1.212
1353, -1.224
1354, -1.236
1355, -1.24798
1356, -1.26
1357, -1.272
1358, -1.284
1359, -1.296
1360, -1.308
1361, -1.32
1362, -1.33198
1363, -1.344
1364, -1.356
1365, -1.368
1366, -1.38
1367, -1.392
1368, -1.404
1369, -1.41599
1370, -1.428
1371, -1.44
1372, -1.452
1373, -1.464
1374, -1.476
1375, -1.488
1376, -1.49999
1377, -1.512
1378, -1.524
1379, -1.536
1380, -1.548
1381, -1.56
1382, -1.572
1383, -1.58399
1384, -1.596
1385, -1.608
1386, -1.62
1387, -1.632
1388, -1.644
1389, -1.656
1390, -1.66799
1391, -1.68
1392, -1.692
1393, -1.704
1394, -1.716
1395, -1.728
1396, -1.74
1397, -1.75199
1398, -1.764
1399, -1.776
1400, -1.788
1401, -1.8
1402, -1.812
1403, -1.824
1404, -1.836
1405, -1.848
1406, -1.86
1407, -1.872
1408, -1.884
1409, -1.896
1410, -1.908
1411, -1.92
1412, -1.932
1413, -1.944
1414, -1.956
1415, -1.968
1416, -1.98
1417, -1.992
1418, -2.004
1419, -2.016
1420, -2.028
1421, -2.04
1422, -2.052
1423, -2.064
1424, -2.076
1425, -2.088
1426, -2.1
1427, -2.112
1428, -2.124
1429, -2.136
1430, -2.148
1431, -2.16
1432, -2.172
1433, -2.184
1434, -2.196
1435, -2.208
1436, -2.22
1437, -2.232
1438, -2.244
1439, -2.256
1440, -2.268
1441, -2.28
1442, -2.292
1443, -2.304
1444, -2.316
1445, -2.328
1446, -2.34
1447, -2.352
1448, -2.364
1449, -2.376
1450, -2.388
1451, -2.4
1452, -2.412
1453, -2.424
1454, -2.436
1455, -2.448
1456, -2.46
1457, -2.472
1458, -2.484
1459, -2.496
1460, -2.508
1461, -2.52
1462, -2.532
1463, -2.544
1464, -2.556
1465, -2.568
1466, -2.58
1467, -2.592
1468, -2.604
1469, -2.616
1470, -2.628
1471, -2.64
1472, -2.652
1473, -2.664
1474, -2.676
1475, -2.688
1476, -2.7
1477, -2.712
1478, -2.724
1479, -2.736
1480, -2.748
1481, -2.76
1482, -2.772
1483, -2.784
1484, -2.796
1485, -2.808
1486, -2.82
1487, -2.832
1488, -2.844
1489, -2.856
1490, -2.868
1491, -2.88
1492, -2.892
1493, -2.904
1494, -2.916
1495, -2.928
1496, -2.94
1497, -2.952
1498, -2.964
1499, -2.976
1500, -2.988
1501, -2.988
1502, -2.988
1503, -2.976
1504, -2.964
1505, -2.952
1506, -2.94
1507, -2.928
1508, -2.916
1509, -2.904
1510, -2.892
1511, -2.88
1512, -2.868
1513, -2.856
1514, -2.844
1515, -2.832
1516, -2.82
1517, -2.808
1518, -2.796
1519, -2.784
1520, -2.772
1521, -2.76
1522, -2.748
1523, -2.736
1524, -2.724
1525, -2.712
1526, -2.7
1527, -2.688
1528, -2.676
1529, -2.664
1530, -2.652
1531, -2.64
1532, -2.628
1533, -2.616
1534, -2.604
1535, -2.592
1536, -2.58
1537, -2.568
1538, -2.556
1539, -2.544
1540, -2.532
1541, -2.52
1542, -2.508
1543, -2.496
1544, -2.484
1545, -2.472
1546, -2.46
1547, -2.448
1548, -2.436
1549, -2.424
1550, -2.412
1551, -2.4
1552, -2.388
1553, -2.376
1554, -2.364
1555, -2.352
1556, -2.33999
1557, -2.328
1558, -2.316
1559, -2.304
1560, -2.292
1561, -2.28
1562, -2.268
1563, -2.25599
1564, -2.244
1565, -2.232
1566, -2.22
1567, -2.208
1568, -2.196
1569, -2.184
1570, -2.17199
1571, -2.16
1572, -2.148
1573, -2.136
1574, -2.124
1575, -2.112
1576, -2.1
1577, -2.08799
1578, -2.076
1579, -2.064
1580, -2.052
1581, -2.04
1582, -2.028
1583, -2.016
1584, -2.00399
1585, -1.992
1586, -1.98
1587, -1.968
1588, -1.956
1589, -1.944
1590, -1.932
1591, -1.91999
1592, -1.908
1593, -1.896
1594, -1.884
1595, -1.872
1596, -1.86
1597, -1.848
1598, -1.83599
1599, -1.824
1600, -1.812
1601, -1.8
1602, -1.788
1603, -1.776
1604, -1.764
1605, -1.75199
1606, -1.74
1607, -1.728
1608, -1.716
1609, -1.704
1610, -1.692
1611, -1.68
1612, -1.66799
1613, -1.656
1614, -1.644
1615, -1.632
1616, -1.61999
1617, -1.60802
1618, -1.59599
1619, -1.58402
1620, -1.57199
1621, -1.56002
1622, -1.54799
1623, -1.53599
1624, -1.52402
1625, -1.51199
1626, -1.50002
1627, -1.48799
1628, -1.47602
1629, -1.46399
1630, -1.45199
1631, -1.44002
1632, -1.42799
1633, -1.41602
1634, -1.40399
1635, -1.39202
1636, -1.37999
1637, -1.36798
1638, -1.35602
1639, -1.34398
1640, -1.33202
1641, -1.31998
1642, -1.30802
1643, -1.29598
1644, -1.28398
1645, -1.27202
1646, -1.25998
1647, -1.24802
1648, -1.23598
1649, -1.22402
1650, -1.21198
1651, -1.19998
1652, -1.18802
1653, -1.17598
1654, -1.16402
1655, -1.15198
1656, -1.14002
1657, -1.12798
1658, -1.11598
1659, -1.10402
1660, -1.09198
1661, -1.08002
1662, -1.06798
1663, -1.05602
1664, -1.04398
1665, -1.03198
1666, -1.02002
1667, -1.00798
1668, -0.996024
1669, -0.983982
1670, -0.972025
1671, -0.959981
1672, -0.947981
1673, -0.936025
1674, -0.923981
1675, -0.912025
