lp_e
----------------
line no, output 1
1492, -0.018
1493, -0.016
1494, -0.014
1495, -0.012
1496, -0.01
1497, -0.008
1498, -0.00599999
1499, -0.00400001
1500, -0.002
1501, 2.98023e-09
1502, 0.00200001
1503, 0.004
1504, 0.006
1505, 0.008
1506, 0.00999999
1507, 0.012
1508, 0.014
1509, 0.016
1510, 0.018
1511, 0.02
1512, 0.022
1513, 0.024
1514, 0.026
1515, 0.028
1516, 0.03
1517, 0.032
1518, 0.034
1519, 0.036
1520, 0.038
1521, 0.04
1522, 0.042
1523, 0.044
1524, 0.046
1525, 0.048
1526, 0.05
1527, 0.052
1528, 0.054
1529, 0.056
1530, 0.058
1531, 0.06
1532, 0.062
1533, 0.064
1534, 0.066
1535, 0.068
1536, 0.07
1537, 0.072
1538, 0.074
1539, 0.076
1540, 0.078
1541, 0.08
1542, 0.082
1543, 0.084
1544, 0.086
1545, 0.088
1546, 0.09
1547, 0.092
1548, 0.094
1549, 0.096
1550, 0.098
1551, 0.1
1552, 0.102
1553, 0.104
1554, 0.106
1555, 0.108
1556, 0.11
1557, 0.112
1558, 0.114
1559, 0.116
1560, 0.118
1561, 0.12
1562, 0.122
1563, 0.124
1564, 0.126
1565, 0.128
1566, 0.13
1567, 0.132
1568, 0.134
1569, 0.136
1570, 0.138
1571, 0.14
1572, 0.142
1573, 0.144
1574, 0.146
1575, 0.148
1576, 0.15
1577, 0.152
1578, 0.154
1579, 0.156
1580, 0.158
1581, 0.16
1582, 0.162
1583, 0.164
1584, 0.166
1585, 0.168
1586, 0.17
1587, 0.172
1588, 0.174
1589, 0.176
1590, 0.178
1591, 0.18
1592, 0.182
1593, 0.184
1594, 0.186
1595, 0.188
1596, 0.19
1597, 0.192
1598, 0.194
1599, 0.196
1600, 0.198
1601, 0.2
1602, 0.202
1603, 0.204
1604, 0.206
1605, 0.208
1606, 0.21
1607, 0.212
1608, 0.214
1609, 0.216
1610, 0.218
1611, 0.22
1612, 0.222
1613, 0.224
1614, 0.226
1615, 0.228
1616, 0.23
1617, 0.232
1618, 0.234
1619, 0.236
1620, 0.238
1621, 0.24
1622, 0.242
1623, 0.244
1624, 0.246
1625, 0.248
1626, 0.25
1627, 0.252
1628, 0.254
1629, 0.256
1630, 0.258
1631, 0.26
1632, 0.262
1633, 0.264
1634, 0.266
1635, 0.268
1636, 0.27
1637, 0.272
1638, 0.274
1639, 0.276
1640, 0.278
1641, 0.28
1642, 0.282
1643, 0.284
1644, 0.286
1645, 0.288
1646, 0.29
1647, 0.292
1648, 0.294
1649, 0.296
1650, 0.298
1651, 0.3
1652, 0.302
1653, 0.304
1654, 0.306
1655, 0.308
1656, 0.31
1657, 0.312
1658, 0.314
1659, 0.316
1660, 0.318
1661, 0.32
1662, 0.322
1663, 0.324
1664, 0.326
1665, 0.328
1666, 0.33
1667, 0.332
1668, 0.334
1669, 0.336
1670, 0.338
1671, 0.34
1672, 0.342
1673, 0.344
1674, 0.346
1675, 0.348
1676, 0.35
1677, 0.352
1678, 0.354
1679, 0.356
1680, 0.358
1681, 0.36
1682, 0.362
1683, 0.364
1684, 0.366
1685, 0.368
1686, 0.37
1687, 0.372
1688, 0.374
1689, 0.376
1690, 0.378
1691, 0.38
1692, 0.382
1693, 0.384
1694, 0.386
1695, 0.388
1696, 0.39
1697, 0.392
1698, 0.394
1699, 0.396
1700, 0.398
1701, 0.4
1702, 0.402
1703, 0.404
1704, 0.406
1705, 0.408
1706, 0.41
1707, 0.412
1708, 0.414
1709, 0.416
1710, 0.418
1711, 0.42
1712, 0.422
1713, 0.424
1714, 0.426
1715, 0.428
1716, 0.43
1717, 0.432
1718, 0.434
1719, 0.436
1720, 0.438
1721, 0.44
1722, 0.442
1723, 0.444
1724, 0.446
1725, 0.448
1726, 0.45
1727, 0.452
1728, 0.454
1729, 0.456
1730, 0.458
1731, 0.46
1732, 0.462
1733, 0.464
1734, 0.466
1735, 0.468
1736, 0.47
1737, 0.472
1738, 0.474
1739, 0.476
1740, 0.478
1741, 0.48
1742, 0.482
1743, 0.484
1744, 0.486
1745, 0.488
1746, 0.49
1747, 0.492
1748, 0.494
1749, 0.496
1750, 0.498
1751, 0.5
1752, 0.502
1753, 0.504
1754, 0.506
1755, 0.508
1756, 0.51
1757, 0.512
1758, 0.514
1759, 0.516
1760, 0.518
1761, 0.52
1762, 0.522
1763, 0.524
1764, 0.526
1765, 0.528
1766, 0.53
1767, 0.532
1768, 0.534
1769, 0.536
1770, 0.538
1771, 0.54
1772, 0.542
1773, 0.544
1774, 0.546
1775, 0.548
1776, 0.55
1777, 0.552
1778, 0.554
1779, 0.556
1780, 0.558
1781, 0.56
1782, 0.562
1783, 0.564
1784, 0.566
1785, 0.568
1786, 0.57
1787, 0.572
1788, 0.574
1789, 0.576
1790, 0.578
1791, 0.58
1792, 0.582
1793, 0.584
1794, 0.586
1795, 0.588
1796, 0.59
1797, 0.592
1798, 0.594
1799, 0.596
1800, 0.598
1801, 0.6
1802, 0.602
1803, 0.604
1804, 0.606
1805, 0.608
1806, 0.61
1807, 0.612
1808, 0.614
1809, 0.616
1810, 0.618
1811, 0.62
1812, 0.622
1813, 0.624
1814, 0.626
1815, 0.628
1816, 0.63
1817, 0.632
1818, 0.634
1819, 0.636
1820, 0.638
1821, 0.64
1822, 0.642
1823, 0.644
1824, 0.646
1825, 0.648
1826, 0.65
1827, 0.652
1828, 0.654
1829, 0.656
1830, 0.658
1831, 0.66
1832, 0.662
1833, 0.664
1834, 0.666
1835, 0.668
1836, 0.67
1837, 0.672
1838, 0.674
1839, 0.676
1840, 0.678
1841, 0.68
1842, 0.682
1843, 0.684
1844, 0.686
1845, 0.688
1846, 0.69
1847, 0.692
1848, 0.694
1849, 0.696
1850, 0.698
1851, 0.7
1852, 0.702
1853, 0.704
1854, 0.706
1855, 0.708
1856, 0.71
1857, 0.712
1858, 0.714
1859, 0.716
1860, 0.718
1861, 0.72
1862, 0.722
1863, 0.724
1864, 0.726
